textual_id,longitude,latitude,content
adm_139574,NULL,NULL,"Nürnberger Land"
adm_139572,NULL,NULL,Erlangen-Höchstadt
adm_139577,NULL,NULL,Weißenburg-Gunzenhausen
adm_139575,NULL,NULL,"Neustadt a. d. Aisch"
adm_139561,NULL,NULL,Ansbach
adm_139561,NULL,NULL,Onolzbach
adm_139561,NULL,NULL,Anspach
adm_139561,NULL,NULL,Onoldisbach
adm_139561,NULL,NULL,Onolsbach
adm_139561,NULL,NULL,Onsbach
adm_139576,NULL,NULL,Roth
object_218055,NULL,NULL,Gunzenhausen
object_218051,NULL,NULL,Dinkelsbühl
object_218052,NULL,NULL,Feuchtwangen
object_218053,NULL,NULL,"Rothenburg o.d. Tauber"
object_218056,NULL,NULL,Weißenburg
object_217911,NULL,NULL,Scheinfeld
object_218054,NULL,NULL,Uffenheim
adm_139571,NULL,NULL,Ansbach
object_397854,NULL,NULL,Hilpoltstein
adm_139662,NULL,NULL,Schweinfurt
adm_139678,NULL,NULL,Schweinfurt
adm_139672,NULL,NULL,"Bad Kissingen"
adm_139672,NULL,NULL,Kissingen
adm_139673,NULL,NULL,"Bad Neustadt"
adm_139675,NULL,NULL,Kitzingen
adm_139679,NULL,NULL,Würzburg
object_275019,NULL,NULL,Königshofen
object_221044,NULL,NULL,"Lohr am Main"
object_218057,NULL,NULL,Gerolzhofen
object_275021,NULL,NULL,Mellrichstadt
object_215669,NULL,NULL,Ochsenfurt
object_217763,NULL,NULL,Alzenau
adm_139671,NULL,NULL,Aschaffenburg
adm_139676,NULL,NULL,Miltenberg
object_884458,NULL,NULL,Miltenberg
object_1049782,NULL,NULL,Hammelburg
object_386996,NULL,NULL,Brückenau
object_218058,NULL,NULL,Marktheidenfeld
object_280013,NULL,NULL,Rockenhausen
object_280029,NULL,NULL,Dürkheim
object_280007,NULL,NULL,"Ludwigshafen am Rhein"
object_268802,NULL,NULL,Bergzabern
object_279989,NULL,NULL,Kirchheimbolanden
object_280008,NULL,NULL,"Neustadt (Haardt)"
object_280008,NULL,NULL,"Neustadt an der Haardt"
adm_137334,NULL,NULL,Germersheim
adm_137311,NULL,NULL,Frankenthal
adm_137336,NULL,NULL,Kusel
adm_137336,NULL,NULL,Cusel
adm_137335,NULL,NULL,Kaiserslautern
adm_137318,NULL,NULL,Speyer
object_280022,NULL,NULL,Zweibrücken
adm_137313,NULL,NULL,"Landau in der Pfalz"
object_320437,NULL,NULL,Konstanz
object_320438,NULL,NULL,Villingen
object_320439,NULL,NULL,Waldshut
object_320457,NULL,NULL,Bonndorf
object_320454,NULL,NULL,Donaueschingen
object_320458,NULL,NULL,Säckingen
object_320459,NULL,NULL,"St. Blasien"
object_320455,NULL,NULL,Triberg
object_1087538,NULL,NULL,Waldshut
object_1190682,NULL,NULL,Überlingen
object_320451,NULL,NULL,Pfullendorf
object_320450,NULL,NULL,Meßkirch
object_320456,NULL,NULL,Villingen
object_320448,NULL,NULL,Engen
object_391260,NULL,NULL,Radolfzell
object_320449,NULL,NULL,Konstanz
object_306585,NULL,NULL,Stockach
object_320440,NULL,NULL,Freiburg
object_320472,NULL,NULL,Kork
object_320472,NULL,NULL,Kehl
object_320441,NULL,NULL,Lörrach
object_320442,NULL,NULL,Offenburg
object_320465,NULL,NULL,Neustadt
object_320469,NULL,NULL,Müllheim
object_293605,NULL,NULL,Wolfach
object_320475,NULL,NULL,Offenburg
adm_138311,NULL,NULL,Freiburg
object_320473,NULL,NULL,Lahr
object_320444,NULL,NULL,Karlsruhe
object_320443,NULL,NULL,Baden
object_320478,NULL,NULL,Bühl
adm_138212,NULL,NULL,Karlsruhe
object_320485,NULL,NULL,Pforzheim
adm_138216,NULL,NULL,Rastatt
object_1089598,NULL,NULL,Bruchsal
object_320445,NULL,NULL,Mannheim
object_320446,NULL,NULL,Heidelberg
object_320447,NULL,NULL,Mosbach
object_320486,NULL,NULL,Mannheim
object_320496,NULL,NULL,Buchen
object_320498,NULL,NULL,Mosbach
object_320491,NULL,NULL,Sinsheim
object_320495,NULL,NULL,Tauberbischofsheim
object_320490,NULL,NULL,Heidelberg
object_320530,NULL,NULL,Königsee
object_320531,NULL,NULL,Rudolstadt
object_320532,NULL,NULL,Frankenhausen
object_398679,NULL,NULL,Gotha
object_398681,NULL,NULL,Waltershausen
object_398680,NULL,NULL,Ohrdruf
adm_144039,NULL,NULL,Marienberg
adm_144024,NULL,NULL,Flöha
