,x,y,id
551,7.21667,46.4833,object_191051
552,7.13333,46.4667,object_191051
553,7.1333333,46.3666667,object_191051
554,7.05,46.3666667,object_191051
555,7.0166667,46.35,object_191051
556,7.06096,46.27316,object_191051
557,7.03333,46.2167,object_191051
558,7.0166667,46.25,object_191051
559,6.9666667,46.3166667,object_191051
560,6.9166667,46.3666667,object_191051
561,6.91667,46.4333,object_191051
562,6.86667,46.45,object_191051
563,6.78333,46.4833,object_191051
564,6.73333,46.4833,object_191051
565,6.66667,46.5,object_191051
566,6.58333,46.5333,object_191051
567,6.5166667,46.5833333,object_191051
568,6.46667,46.5667,object_191051
569,6.4333333,46.55,object_191051
570,6.4,46.4833333,object_191051
571,6.4,46.4667,object_191051
572,6.36667,46.4667,object_191051
573,6.3,46.4333,object_191051
574,6.25,46.4,object_191051
575,6.2,46.3333,object_191051
576,6.19,46.32,object_191051
577,6.18,46.31,object_191051
578,6.17,46.35,object_191051
579,6.16667,46.3667,object_191051
580,8.43,47.67,object_191076
581,8.47,47.73,object_191076
582,8.53,47.77,object_191076
583,8.6,47.78,object_191076
584,8.65,47.78,object_191076
585,8.72,47.75,object_191076
586,8.8,47.72,object_191076
587,8.83,47.71,object_191076
588,8.85,47.65,object_191076
589,8.8,47.68,object_191076
590,8.72,47.7,object_191076
591,8.67,47.68,object_191076
592,8.63,47.68,object_191076
593,8.6168,47.6833,object_191076
594,8.5559,47.6849,object_191076
595,8.567,47.5833,object_191076
596,8.5667,47.5833,object_191076
597,8.49156,47.66388,object_191076
598,8.43,47.67,object_191076
599,8.82,47.23,object_191072
600,8.83,47.23,object_191072
601,8.9333333,47.2166667,object_191072
602,8.9833333,47.2166667,object_191072
603,9.05,47.15,object_191072
604,9.1,47.1333333,object_191072
605,9.1333333,47.1333333,object_191072
606,9.1166667,47.25,object_191072
607,9.1666667,47.2333333,object_191072
608,9.2,47.2166667,object_191072
609,9.233337,47.099997,object_191072
610,9.316669,47.116666,object_191072
611,9.35,47.0833333,object_191072
612,9.4166667,47.05,object_191072
613,9.4333333,47.05,object_191072
614,9.499997,46.983392,object_191072
615,9.5,47.0,object_191072
616,9.4833333,47.0833333,object_191072
617,9.4833333,47.1166667,object_191072
618,9.4333333,47.2,object_191072
619,9.35,47.2,object_191072
620,9.1833333,47.3,object_191072
621,9.2,47.3666667,object_191072
622,9.26,47.42,object_191072
623,9.29,47.42,object_191072
624,9.3333333,47.45,object_191072
625,9.42,47.452,object_191072
626,9.4666667,47.45,object_191072
627,9.5333333,47.3833333,object_191072
628,9.5333333,47.35,object_191072
629,9.5,47.2666667,object_191072
630,9.5666667,47.3166667,object_191072
631,9.57064,47.39315,object_191072
632,9.6333333,47.3833333,object_191072
633,9.6,47.4166667,object_191072
634,9.5833333,47.4666667,object_191072
635,9.566667,47.46665,object_191072
636,9.5,47.4666667,object_191072
637,9.4666667,47.4666667,object_191072
638,9.407476,47.48653,object_191072
639,9.35,47.4833333,object_191072
640,9.3166667,47.5166667,object_191072
641,9.2833333,47.4666667,object_191072
642,9.2,47.45,object_191072
643,9.1833333,47.4666667,object_191072
644,9.1166667,47.4666667,object_191072
645,9.0333333,47.4833333,object_191072
646,9.0833333,47.4333333,object_191072
647,9.0333333,47.3666667,object_191072
648,9.05,47.3166667,object_191072
649,9.0915,47.2973,object_191072
650,9.0333333,47.2166667,object_191072
651,9.0166667,47.2166667,object_191072
652,8.9666667,47.2666667,object_191072
653,8.85,47.25,object_191072
654,8.82,47.23,object_191072
655,6.8,46.3833333,object_191057
656,6.8666667,46.3666667,object_191057
657,6.95,46.2667,object_191057
658,7.0,46.2166667,object_191057
659,7.0333333,46.1666667,object_191057
660,7.1,46.1333333,object_191057
661,7.1833333,46.1666667,object_191057
662,7.2,46.1833333,object_191057
663,7.2166667,46.2,object_191057
664,7.3,46.2333333,object_191057
665,7.35,46.25,object_191057
666,7.3833333,46.2833333,object_191057
667,7.4666667,46.3,object_191057
668,7.5,46.3166667,object_191057
669,7.521377,46.316661,object_191057
670,7.55,46.3166667,object_191057
671,7.6166667,46.35,object_191057
672,7.6333333,46.3833333,object_191057
673,7.6833333,46.3166667,object_191057
674,7.7,46.3166667,object_191057
675,7.75,46.3833333,object_191057
676,7.7666667,46.4,object_191057
677,7.783887,46.404161,object_191057
678,7.7833333,46.3166667,object_191057
679,7.8666667,46.3166667,object_191057
680,7.9333333,46.3166667,object_191057
681,7.9666667,46.35,object_191057
682,8.05,46.3833333,object_191057
683,8.0666667,46.3833333,object_191057
684,8.1333333,46.4,object_191057
685,8.15,46.4333333,object_191057
686,8.1833333,46.45,object_191057
687,8.2632,46.4865,object_191057
688,8.3333333,46.5333333,object_191057
689,8.3166667,46.5166667,object_191057
690,8.3,46.5,object_191057
691,8.2833333,46.4833333,object_191057
692,8.2333333,46.4666667,object_191057
693,8.1833333,46.4333333,object_191057
694,8.1833333,46.3666667,object_191057
695,8.1166667,46.3833333,object_191057
696,8.0833333,46.3666667,object_191057
697,8.0166667,46.3166667,object_191057
698,8.1166667,46.1666667,object_191057
699,7.96667,46.3,object_191057
700,7.9,46.25,object_191057
701,7.9,46.2,object_191057
702,7.8333333,46.1833333,object_191057
703,7.8,46.1,object_191057
704,7.75,46.0166667,object_191057
705,7.7666667,46.0666667,object_191057
706,7.6,46.1833333,object_191057
707,7.5833333,46.1833333,object_191057
708,7.5833333,46.2,object_191057
